,Actual value,Predicted value,birth_rate,gdp,health_exp_percent_gdp,health_exp_per_capita,infant_mortality_rate,internet_usage,life_expectancy_female,life_expectancy_male,mobile_phone_usage,population_0_to_14,population_15_to_64,population_65_plus,population_total,population_urban,tourism_inbound,tourism_outbound,personal,business,africa,americas,east_asia_and_pacific,europe,middle_east,south_asia,others
1609,76.93842150910667,85.9603640738213,0.022,415909000000.0,0.037,566.0,0.016,0.3,76.0,73.0,1.1,0.328,0.642,0.03,25915624.0,0.814,6907000000.0,21031000000.0,8871.0,2659.0,601.0,236.0,579.0,657.0,7444.0,2014.0,0.0
1499,85.56701030927834,50.95821441224723,0.048,60448890972.0,0.034,115.0,0.117,0.0,51.0,48.0,0.3,0.479,0.497,0.024,17712824.0,0.377,236000000.0,473000000.0,166.0,28.0,33.0,38.0,28.0,89.0,2.0,4.0,0.0
1374,73.31768388106417,82.43738816726224,0.021,18550700000.0,0.067,203.0,0.019,0.1,76.0,66.0,0.6,0.35,0.586,0.064,6096692.0,0.622,686000000.0,307000000.0,937.0,341.0,1.0,1240.0,10.0,29.0,0.0,0.0,0.0
1598,91.99632014719411,90.2479817859602,0.026,40405006007.0,0.038,79.0,0.015,0.1,77.0,73.0,0.3,0.373,0.592,0.035,19561477.0,0.545,2972000000.0,710000000.0,5000.0,435.0,78.0,59.0,43.0,732.0,3124.0,356.0,1042.0
372,97.03729522481702,80.03741370520964,0.025,24894907435.0,0.062,173.0,0.032,0.0,74.0,68.0,0.1,0.345,0.602,0.053,8799298.0,0.626,2798000000.0,425000000.0,2784.0,85.0,0.0,1239.0,2.0,1142.0,0.0,0.0,487.0
2444,69.84478935698448,80.94608183249,0.025,199071000000.0,0.044,233.0,0.023,0.1,72.0,69.0,0.9,0.272,0.681,0.047,37762962.0,0.682,300000000.0,571000000.0,630.0,272.0,554.0,12.0,55.0,219.0,61.0,0.0,1493.0
2370,81.95402298850574,77.82027694716228,0.011,58009863403.0,0.067,7751.0,0.002,0.9,84.0,79.0,1.5,0.175,0.685,0.14,518347.0,0.889,4825000000.0,3822000000.0,713.0,157.0,10.1,37.7,55.7,770.5,0.0,0.0,0.0
2371,70.30985915492958,83.66514910834903,0.011,43083067994.0,0.067,887.0,0.005,0.6,79.0,68.0,1.6,0.151,0.693,0.155,3028115.0,0.667,1417000000.0,874000000.0,1248.0,527.0,3.2,32.7,42.6,1682.5,0.0,0.0,14.0
1217,100.0,88.34656207707536,0.021,992473987.0,0.07,235.0,0.019,0.1,75.0,73.0,0.7,0.343,0.611,0.046,297576.0,0.338,826000000.0,94000000.0,395.0,0.0,3.0,7.0,56.0,307.0,2.0,19.0,0.0
691,100.0,86.38764282888255,0.022,949867662.0,0.06,199.0,0.025,0.1,74.0,71.0,0.2,0.37,0.587,0.043,287594.0,0.313,402000000.0,60000000.0,564.0,0.0,4.0,8.0,84.0,443.0,4.0,21.0,0.0
1715,76.96793002915452,76.99422994205182,0.033,39136441799.0,0.069,199.0,0.03,0.1,74.0,67.0,1.1,0.422,0.534,0.044,13648307.0,0.484,1068000000.0,741000000.0,1320.0,395.0,0.0,1518.0,30.0,165.0,0.0,0.0,2.0
568,94.6969696969697,85.11323423596806,0.018,698083345.0,0.044,371.0,0.012,0.1,77.0,69.0,0.5,0.267,0.654,0.079,83700.0,0.505,247000000.0,53000000.0,125.0,7.0,14.0,4.0,3.0,108.0,2.0,2.0,0.0
2398,77.1900826446281,76.88596520002679,0.011,262379000000.0,0.09,4411.0,0.002,0.9,84.0,77.0,1.7,0.164,0.659,0.177,5388272.0,0.837,5591000000.0,6009000000.0,5604.0,1656.0,11.0,181.0,427.0,6641.0,0.0,0.0,0.0
1733,86.68941979522185,74.79416144043586,0.028,1630667593.0,0.089,73.0,0.082,0.0,46.0,46.0,0.3,0.385,0.571,0.044,1972199.0,0.238,30000000.0,248000000.0,254.0,39.0,259.0,5.0,6.0,23.0,0.0,0.0,0.0
2340,89.62409886714727,85.99831272170849,0.025,224095000000.0,0.044,105.0,0.025,0.3,72.0,65.0,1.0,0.349,0.613,0.038,95053437.0,0.45,4026000000.0,5807000000.0,3481.0,403.0,4.0,748.0,2405.0,402.0,56.0,61.0,241.0
909,51.288056206088996,66.65735290609419,0.043,2625127098.0,0.078,16.0,0.078,0.0,48.0,48.0,0.0,0.461,0.508,0.03,12569091.0,0.15,74000000.0,70000000.0,219.0,208.0,336.0,21.0,11.0,49.0,0.0,7.0,4.0
2177,85.09349030470914,86.99265117868035,0.021,1708460000000.0,0.037,52.0,0.046,0.1,67.0,64.0,0.6,0.302,0.648,0.051,1205624648.0,0.309,14490000000.0,10490000000.0,4915.0,861.0,197.0,1237.0,1063.0,2035.0,183.0,1047.0,14.0
424,76.03988391993451,82.38493893808743,0.013,1453830000000.0,0.048,54.0,0.026,0.0,74.0,72.0,0.2,0.236,0.692,0.072,1280400000.0,0.384,21742000000.0,16759000000.0,10219.0,3220.0,84.0,1510.0,92866.0,3007.0,52.0,381.0,8.0
25,85.46588933210596,84.89419428911137,0.011,739456000000.0,0.088,2090.0,0.005,0.5,82.0,77.0,0.3,0.192,0.683,0.125,30769700.0,0.795,13035000000.0,15125000000.0,16712.0,2842.0,65.0,15605.0,1340.0,2499.0,45.0,74.0,0.0
188,87.04710144927536,80.65437072176621,0.027,5788311645.0,0.047,152.0,0.054,0.0,52.0,49.0,0.1,0.383,0.587,0.029,1755375.0,0.532,227000000.0,209000000.0,961.0,143.0,914.0,27.0,15.0,66.0,0.0,2.0,80.0
141,93.30576376324632,89.63882142122523,0.021,9063147901.0,0.035,476.0,0.011,0.1,76.0,74.0,0.3,0.308,0.667,0.024,668239.0,0.884,854000000.0,425000000.0,3610.0,259.0,32.0,121.0,107.0,216.0,3060.0,332.0,0.0
