birth_rate,country,gdp,health_exp_percent_gdp,health_exp_per_capita,infant_mortality_rate,internet_usage,life_expectancy_female,life_expectancy_male,mobile_phone_usage,no_of_records,population_0_to_14,population_15_to_64,population_65_plus,population_total,population_urban,region,tourism_inbound,tourism_outbound,year,header,personal,business,total,africa,americas,east_asia_and_pacific,europe,middle_east,south_asia,others
0.043,nigeria,46385996027,0.046,17,0.113,0,47,46,0,1,0.435,0.537,0.028,122876727,0.348,Africa,186000000,610000000,2000,Data,406,407,813,1051,58,92,230,25,34,1
0.013,norway,1.68E+11,0.091,3432,0.004,0.5,81,76,0.7,1,0.2,0.648,0.152,4490967,0.761,Europe,2521000000,4893000000,2000,Data,2327,777,3104,0,141,0,2855,0,0,108
0.024,panama,11620500000,0.078,295,0.022,0.1,78,73,0.1,1,0.321,0.623,0.055,3054812,0.622,The Americas,628000000,241000000,2000,Data,228,147,375,0,353,11,31,0,0,0
0.035,papua new guinea,3521348155,0.04,26,0.058,0,61,57,0,1,0.402,0.573,0.025,5379226,0.132,Oceania,7000000,50000000,2000,Data,21,37,58,0,7,43,5,0,3,0
0.028,paraguay,8195993231,0.081,124,0.028,0,72,68,0.2,1,0.382,0.574,0.044,5350253,0.553,The Americas,88000000,154000000,2000,Data,257,31,288,0,286,0,0,0,0,3
0.024,peru,50681123109,0.047,96,0.03,0,73,68,0,1,0.341,0.611,0.048,26000080,0.73,The Americas,861000000,641000000,2000,Data,775,53,828,2,535,48,209,0,1,5
0.03,philippines,81026294681,0.032,33,0.03,0,70,64,0.1,1,0.385,0.583,0.032,77651848,0.48,Asia,2334000000,1841000000,2000,Data,1571,393,1964,1,511,1022,252,15,24,167
0.01,poland,1.71E+11,0.055,247,0.008,0.1,78,70,0.2,1,0.194,0.684,0.123,38258629,0.617,Europe,6128000000,3417000000,2000,Data,12550,4850,17400,9,330,88,84043,7,9,29
0.009,russian federation,2.60E+11,0.054,96,0.02,0,72,59,0,1,0.182,0.694,0.124,146596870,0.734,Europe,3429000000,8848000000,2000,Data,17951,3218,21169,38,293,839,19269,33,45,652
0.044,sierra leone,635874002,0.184,28,0.141,0,39,37,0,1,0.43,0.546,0.025,4139757,0.356,Africa,10000000,35000000,2000,Data,9.9,5.8,15.7,4.8,2.5,1.9,5.7,0.9,0,0
